,ds,y
199,2014-07-19,256523.0
200,2014-07-20,479468.0
201,2014-07-21,524849.0
202,2014-07-22,350614.0
203,2014-07-23,383774.0
204,2014-07-24,468801.0
205,2014-07-25,353224.0
206,2014-07-26,259439.0
207,2014-07-27,371606.0
208,2014-07-28,568979.0
209,2014-07-29,452045.0
210,2014-07-30,408069.0
211,2014-07-31,487942.0
212,2014-08-01,200145.0
213,2014-08-02,461239.0
214,2014-08-03,252475.0
215,2014-08-04,762190.0
216,2014-08-05,418992.0
217,2014-08-06,304045.0
218,2014-08-07,690774.0
219,2014-08-08,618535.0
220,2014-08-09,274710.0
221,2014-08-10,729616.0
222,2014-08-11,385025.0
223,2014-08-12,502393.0
224,2014-08-13,512690.0
225,2014-08-14,465954.0
226,2014-08-15,309308.0
227,2014-08-16,162309.0
228,2014-08-17,273005.0
229,2014-08-18,514719.0
230,2014-08-19,521923.0
231,2014-08-20,390012.0
232,2014-08-21,449430.0
233,2014-08-22,372920.0
234,2014-08-23,199064.0
235,2014-08-24,274039.0
236,2014-08-25,458153.0
237,2014-08-26,349851.0
238,2014-08-27,425834.0
239,2014-08-28,560674.0
240,2014-08-29,268511.0
241,2014-08-30,201365.0
242,2014-08-31,417848.0
243,2014-09-01,228835.0
244,2014-09-02,545080.0
245,2014-09-03,496198.0
246,2014-09-04,632784.0
247,2014-09-05,424766.0
248,2014-09-06,545896.0
249,2014-09-07,447270.0
250,2014-09-08,251818.0
251,2014-09-09,428252.0
252,2014-09-10,640375.0
253,2014-09-11,491908.0
254,2014-09-12,599710.0
255,2014-09-13,194897.0
256,2014-09-14,182512.0
257,2014-09-15,412953.0
258,2014-09-16,336696.0
259,2014-09-17,354798.0
260,2014-09-18,264278.0
261,2014-09-19,357344.0
262,2014-09-20,210548.0
263,2014-09-21,412775.0
264,2014-09-22,424082.0
265,2014-09-23,353972.0
266,2014-09-24,425908.0
267,2014-09-25,298227.0
268,2014-09-26,647808.0
269,2014-09-27,452461.0
270,2014-09-28,501482.0
271,2014-09-29,485947.0
272,2014-09-30,645558.0
273,2014-10-01,304822.0
274,2014-10-02,420944.0
275,2014-10-03,399931.0
276,2014-10-04,480117.0
277,2014-10-05,335122.0
278,2014-10-06,549720.0
279,2014-10-07,446703.0
280,2014-10-08,405594.0
281,2014-10-09,344628.0
282,2014-10-10,509276.0
283,2014-10-11,764607.0
284,2014-10-12,495955.0
285,2014-10-13,780040.0
286,2014-10-14,759409.0
287,2014-10-15,624560.0
288,2014-10-16,742507.0
289,2014-10-17,540881.0
290,2014-10-18,283273.0
291,2014-10-19,401532.0
292,2014-10-20,638519.0
293,2014-10-21,926248.0
294,2014-10-22,660659.0
295,2014-10-23,684002.0
296,2014-10-24,494309.0
297,2014-10-25,270614.0
298,2014-10-26,461538.0
299,2014-10-27,619510.0
300,2014-10-28,599535.0
301,2014-10-29,478730.0
302,2014-10-30,663944.0
303,2014-10-31,473236.0
